1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
European Communities (EC),35197791.16,6314738.45,39361.75701,2770.54287,,,,,,,48083.74506,,2015.859903,,,7093781.372,,,,,,575328207.5,103216.3673,9104540.621,,,,1238.924422,862.5210607,403.3924064,,,896.1491218,,30040.8011,765978.8467,,6223.23811,,14878134.62,,,,,,731388.6793,,,,3149846.419,,,,405.2292884,285.3071354,86993945.92,,,,,33403164.85,,,,,239352.9401,,804921.6897,13713.32125,5399028.083,,,1087.237332,,754.4599172,,,,377.2299586,9399.259559,3772.942495,,,158103057.3,,4207.601257,582.3440744,,669.7271749,,3084.505364,,,,,,,,,1892.605121,,,,,,52484638.78,,277.0674076,,,,3324.008535,,,,,,462.0545449,377.3611644,,,,,2535.605663,,6369988.738,,,,7150.535502,2625819.543,,,,,,,,,,,,,6928.653277,,4126.817811,747873.3832,,,52313.0084,,,,,,5784.971186,,,3450.68779,7476.503332,,533.811028,,,,,,,,,,8618.505988,13121891.06,,,,,378.515776,,,432.4938654,5208.688823,,2046.142215,1013244860
Finland,22433942.35,16960853.48,647111.9276,198408.9899,478964.5623,,,30790.57901,,122992.4889,58844.21765,7769579.969,263389.4552,,,1246086.587,4783.213813,386508.4372,68.4235089,547388.0712,41464.64639,224678118,276853.1558,2229290.455,,625695.027,,,41738.34043,569902.4963,,35580.22463,2942210.883,1138237.387,4789645.623,776579.8562,4296554.236,1124713.576,,6188865.86,,,,152037.0368,337934.6512,,,20527.05267,2736.940356,11495.1495,1839122.217,18113.07128,,273694.0356,21245089.81,5353507.399,594007.4115,,,65139.18047,4845427.505,188866.3326,,,,646696.9804,,821173.7943,,11721217.61,951629.7676,2833216.789,1548983.152,30796.14355,3809986.177,,16819.59326,,294833.6055,71109.58322,13057804.83,,477335.5255,2911527.408,,2025593.368,5359783.032,,416478.996,82108.21068,283291.8422,,243765.0591,65137.812,412511.6505,212185.7842,259908.208,684235.089,,,25829.87461,,629131.9836,,75466.06936,1113819.814,535982.3923,45104.77707,,313585.403,40675150.65,228951.4351,3020534.209,2919713.968,,12311243.1,12408113.36,684235.089,697508.5121,,400047.6241,304663.8431,,17205881.26,,9382588.16,32159.04918,82108.21068,69124.16563,1614900.445,686052.0616,,,,109218.6171,,,,,7390662.555,,290799.9128,,5848946.913,1687456.236,4588835.773,12463152.62,2372584.636,28528551.31,1605451.723,,4783.309606,,179269.5933,,21804691.16,,,446940.9878,299594.3715,19469711.95,643284.9671,368841.9744,39548.78814,,,17881.43033,298789.3136,237623.3855,121559.5911,,2429677.747,1100919.381,,51930.70631,,,732579.7726,20638364.38,,,3742888.154,9961434.815,8551202.777,646580064.6
France,53636979.59,106669818.6,4447357.356,139781071.9,226971.5815,5759088.711,,,,13744794.43,4806661.788,796429.5394,2629383.12,,,2135202.147,28252.25978,6530385.427,,40529536.85,186482.33,1225696657,9654706.188,3344072.955,6618168.481,53864287.3,,48074425.2,10963574.85,14210567.22,182122130.7,2871764.383,21627290.32,139680.5805,25816966.68,15153378.52,235729593.4,133729405.8,16033842.47,16873354.41,959673016.3,,4711373.852,144458795,3778695.011,2782791.176,44927776.72,156045.8671,2186569.192,8144463.392,120353586.8,3478165.374,3154459.511,622213.4857,11173224.47,83555950.49,27908952.33,1020048.934,43455621.02,481851.4752,6074081.726,14672710.47,,,128301.6543,3423865.109,35580583.99,1723766.716,,142411146.5,1462022.146,53219507.06,263917190.6,14837192.39,8544893.366,,215616.199,,4190108.607,3376788.617,31593270.08,2302.127706,728917.689,1810152.888,,1596403.265,8786545.579,,51070987.21,268064.4987,242564854.5,3973580.412,3047050.613,65613351.94,238762.6765,7337340.171,9430.513596,50779428.15,,36113733.21,56915751.09,638991001.2,283871842.5,,11848841.06,6744152.572,1322792.683,623273.7963,,233693039.9,9162949.122,2083118.945,24557075.08,1093586.418,,807991.2851,1004302.748,33375634.93,8796366.261,,16933076.16,19703566.07,860266.6822,15136554.54,,57125505.41,428826.1372,166527.6895,813606.2719,18399852.14,210317752.3,,,,5149327.909,,2009626.173,,111826627.7,11059256.25,10967135.09,24240.29528,,3666751.632,135095098.7,12436802.36,12903053.26,,178469731.8,1462763.271,,,886075.7364,5650.891423,,8436776.367,205328.5429,171666.6375,26279331.95,197217.6223,16946243.19,17628384.27,122421.0583,166476741.3,,35058.88094,502611.1141,99741451.86,65816064.18,136166.3606,,3254880.458,15353530.52,,2792913.661,2428990.013,3107297.297,6986902.496,227748355.3,129512815.6,,5323679.662,869592.9883,5021885.318,7875603534
Germany,431565934.4,176010173.3,14994316.41,7693860.996,115991311.9,4254929.149,216254.9111,12209.49238,,19816803.73,6434796.494,169793094.7,6849904.057,,,19484062.28,103398.5544,16930601.88,116824.9132,12436303.41,394382.9475,1934598149,31715480.04,18392284.19,1574234.417,138119653.3,,16030853.08,11994267.62,22148565.23,71869311.07,202167.7903,2760477.472,62482125.66,11317655.73,21116043.75,312224085.3,35905960.3,1461.762673,31434779.7,9081566.81,,14185478.82,89216572.22,12996782.42,2425274.268,244393.0602,27183.15072,1285091.132,21464473.51,70871880.04,4162615.11,52863.70012,1091781.551,58331376.38,106409770.3,13563806.92,302523.0156,2668899.76,630578.5601,58514023.7,24210483.23,,,70676.61956,6132231.346,3158089.166,1394403.403,272224.2988,38016056.82,8741659.661,137238071.7,78500735.13,45882360.01,36332851.09,,187724.6588,,23042400.31,13748965.29,31690230.31,104490.1093,2443324.083,8158794.125,,9986412.164,15609313.75,,21244714.66,1280370.059,8149611.084,3671927.567,10552656.47,3818172.567,17621486.01,10621539.01,148517.2865,21727182.9,,5640829.978,422042.4135,,36212277.16,15888.77777,17133945.52,10983396.67,23686994.12,4223892.541,,45997361.85,55093855.96,14069118.98,13279322.26,16661163.71,,27958452.4,11167145.85,12259788.45,29567841.24,,19147021.7,1994150.884,1041896.005,131078136,185654.5412,67490204.2,1275753.916,561665.8257,3380095.608,37652960.92,20502253.27,,,,11497259.57,12191.60265,23104.27249,,6424621.924,52898958.06,542979.9711,4221221.558,6321.655195,12087560.99,,41431304.57,22358646.46,7486195.146,46553299.19,9719443.272,16152.46085,47898.4512,56930.17551,30296.43233,,32106001.65,89649.90934,286936.0474,55468871.78,10766243,83288148.6,16782876.52,7082169.845,7033456.425,,1796.117988,387353.3182,35418556.78,82691036.29,1395016.265,,18508421.38,74392713.71,,3435748.238,16202728.8,2252.060847,7288427.571,59808494.72,,,35600461.82,10874679.05,23141014.11,6184421879
Global Alliance for Vaccines & Immunization (GAVI),22771385.68,,344512.335,,,7692121.002,,,,,799070.8925,,1628166.999,,,51513123.18,,,,5105148.18,69619.66444,185480545.6,3276175.8,598820.2498,,,,5716242.016,1778481.283,3529067.151,11808874.01,,875357.3233,,3148417.574,,,,324977.6198,46558210.03,798199.1608,,,2362709.933,,,244174.0337,,,,,,,1795697.984,19685722.89,,,,,1716994.479,599067.9009,7426549.917,,,,,3762820.028,748589.7015,576214.6616,,7096757.96,,,,,,,,,,34135062.35,28222.31417,1909617.469,,,1789922.762,3344151.062,,,839963.0346,1860542.936,,,9310768.294,8131424.254,,,21679947.86,,2326929.308,,,,,,834673.2081,1159650.828,,,,11966924.91,90848.31284,,,,13265478.27,5738550.423,8087936.729,7649079.248,,,,,94477777.73,,,,2429813.462,,,,,,,1902812.018,,73185.83963,,4933605.248,,,7983071.366,170314.5832,,,,,,,6341402.432,,,,,,25281973.01,,,,2563891.743,26926851.51,,,2983155.072,,,,,,,,7948667.682,,,,7225051.113,,,19246667.29,,,17167339.5,7688099.148,6380689.795,775705877.3
Global Environment Facility (GEF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Fund to Fight Aids, Tuberculosis and Malaria (GFATM)",,,,,3931622.949,,,,,,,,5726603.736,,,16934427.65,,19602880.64,970000.6409,18336029.59,,,5246733.26,7199037.846,,,,5101370.016,14134932.58,31198439.92,57086843.99,2823207.162,636663.3122,,30928030.72,,103431172.7,13617296.31,5620040.478,57172099.35,23134727.42,,,4060620.421,,,,,,5434900.512,,2304541.653,,21064472.58,,,,3439153.969,,18810262.54,3262738.254,,,,,,1086991.99,10218462.9,1064561.738,,,26413419.36,31974941.87,4206560.197,8756574.764,,,,,,,,21135345.36,,,1060321.952,,,,3254501.38,,,,34722329.18,,,,,,,,,4528289.626,,,21232908.98,2194585.575,2118961.859,,,,36049098.9,,,,7878294.168,1693202.147,,38571959.82,,,,,13842932.17,,,,,6136441.466,,25063095.05,,,,98683520.67,,,,15183085.95,2458342.864,,13281128.82,1592830.165,,,10031355.6,,3809110.963,,,,,,,,19444138.29,1359591.411,,,,,,,18074146.53,,,,3283671.702,,3348224.426,,,,,,,,,4857190.038,,,,25260028.16,,1005078996
Greece,137742.3917,2589982.943,52847982.52,69639.57676,513777.2336,126634.5691,,77255.9842,,638160.5814,1758379.093,2197758.18,137621.0684,,,77606.47375,,114812.2871,,,,58540085.08,13251.20092,444405.9162,,452940.3366,,68749.87252,64759.68384,,166078.1234,4691.167772,8263.46507,16526.93014,24790.39521,415734.5233,586126.3642,82068.47528,,1155995.406,586679.0592,,,23388.43703,211843.9699,45186.19073,9705.864356,,8263.46507,,9270435.017,29117.59307,7279.398267,8263.46507,1417581.93,12266392.7,747486.3591,,,17969.32943,1733116.884,66107.72056,,,,,,9705.864356,,733094.7191,8263.46507,99269.42378,72793.98267,661966.9098,635963.2816,,,,2591479.263,434944.0465,399800.7293,,142204.3932,33303.24707,,72942.26671,,,1139886.367,,8263.46507,435402.3789,909857.3816,84077.04999,16392.12647,,9705.864356,8263.46507,,53449.6558,,,126998.539,,1111132.744,1226902.137,12954.63284,332021.4432,,170513.1642,59664.10506,,185031.5197,18306.33861,,57520.72668,,123951.9761,1473390.65,,3483232.512,378461.3081,,391550.7446,,6970253.007,43406.78226,,,104769.4136,78711.86386,,,,33053.86028,,29117.59307,,,12481202.35,,171227.6237,,33053.86028,24790.39521,936157.5779,586274.6482,2031235.204,7637976.034,204955.5023,,,,,,1058047.058,,,3609732.277,,57844.25549,78280.49211,,34496.25957,,,,212046.1755,6251210.223,21029.37277,,191960.4284,3008642.706,,72537.8557,376371.8511,,137971.5579,40562.42479,,1348036.716,17969.32943,47680.05865,280526.4406,215704430.3
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Fund for Agricultural Development (IFAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Monetary Fund (IMF),,,,,,,,17533699.7,,,94032582.11,,,,,,,,,20676777.72,,,,,,,,17406418.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11391579758,1639725.62,,,9820820.023,,10637111.15,,,,,694568290.9,7176104946,351842907.4,,,,,,,12182674.31,,,,,,8753861.926,,,,,9013620.44,,,,,28677339.96,,,,,,142867182.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11533278.03,8104465.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461141642,,,,,,,,,22592496.77,,,21490709598
Ireland,9605610.469,3827168.342,77480.86721,,,1238759.291,,,,236815.7962,,,,,,2408476.97,,,,118399.5865,,114036236.5,851004.889,35983.51936,17991.75968,1055637.268,,20759.71835,2332544.091,3281188.509,319768.8347,3539878.802,,,,348763.2456,4175294.863,1539853.566,,9364548.234,,,,403966.2254,,,,,,38751.47803,121771.8308,926342.034,,1356212.54,52203795.98,84957.09124,,,,34599.52586,,1293309.602,,,,1805205.429,57171.87455,596511.7451,,7702651.287,2076325.922,4215868.076,,,1061963.641,,,,42478.54562,,13709109.77,,,,,460184.2442,1290432.162,,651337.6995,16737666.91,11282866.63,,,,21601015.69,,,212392.7281,,240711.7585,,,68645.47132,17991.75968,,751840.9898,,,,,60854378.68,15870.11208,1537416.09,,,500637.9792,2299714.462,2430541.006,1571991.87,,,,,5230195.723,,6630839.151,,17991.75968,17272.08816,318578.1752,789681.8977,,,,2540197.587,,,,16607.76618,42478.54562,,12651647.11,,7032863.81,4000063.046,8692298.644,3060362.048,,10366723.97,256581.8706,,,,,185482.4987,14928501.23,,32661.95196,,120355.8793,52913703.24,385146.7713,6224163.998,69199.05173,,,,,,,,61697673.32,314470.1741,,,141595.1521,,,17968200.81,,,95222.73977,34958993.16,7185364.564,627573911.7
Italy,32070282.31,2204693.57,7396144.874,3200.520458,1866594.755,1061182.128,,,,3276897.714,57606.67137,27185.33827,9393.445118,,,384670.5257,,20745.24098,,1485766.082,,105142436.5,3168660.069,3818799.754,,8523991.115,,3193068.865,5981104.118,352761.7865,3299793.352,39352.87851,2667167.228,,197273.6744,3099152.42,3942647.723,5777605.488,,8843023.353,101763468.6,,59193.08761,2139909.129,231263.7974,925894.7358,162150.3218,,1174962.459,1818386.854,5141549.484,1240002.648,57064280.13,732809.5948,10552567.58,1488819.478,,,118466.3901,,176602.8397,752873.9355,,,,4527042.337,385425.8322,178685.6757,,65437791.09,892201.9474,11855139.97,540665.5961,140656.8829,7574220.599,,24082.45875,,1089309.342,,8965815.181,,119488.8124,968156.6503,,,34590.84993,,23683726.93,,2020634.559,15931.86102,2003044.019,2641565.166,1255091.215,,,2049064.183,,2217647.853,,,859575.409,,1393795.749,1310177.865,79962.53137,465209.3875,,2591584.445,30096676.68,905207.2219,,9905.437665,,268866.7872,1096510.457,2461050.383,1507710.398,,52820.14958,,,12025397.64,,31451236.68,,,423568.9174,4595419.467,2360238.746,,,,705631.4758,,,,3018713.357,1327143.143,8332533.494,199829.6955,,10465525.01,1539658.775,278861.6784,210308.1721,,4083738.707,724049.3774,,,,,387492.971,12813358.63,,38154.7302,2599043.867,7513.027324,4616576.155,1133467.786,794542.7297,12041172.67,,,,3116716.296,133098.7001,,,8258525.137,81512.20087,,405309.9244,1383.016066,,386437.4117,4651796.748,,,1462303.561,1218245.081,275142.3194,711337081.8
Japan,713835330.6,43269687.28,2848503.07,1714468.288,12942995.52,15162771.24,,464194.7161,,42110300.19,2097040.111,49146069.42,2728548.038,,,85132570.79,1145825.943,1329658.755,1581878.442,19928988,9071987.012,1495292430,39615179.32,3199614.056,15177652.29,37256123.07,,35955753.47,21259054.3,86735943,25752270.18,10212246.11,5938879.065,2580461.852,13168056.75,16333098.16,341049960.1,12485040.78,668417.6908,56061667.63,5726042.646,88281.42682,23789453.41,75519663.48,1799455.529,4938293.359,20865873.27,765378.5902,11372942.13,21955395.69,44059736.65,29612144.72,307474.1848,4762112.712,83440814.56,1884617.021,7395775.714,9341423.944,19854595.05,15754935.12,8812297.099,54149943.9,,,120232.0384,25511726.66,7514229.688,15417801.58,1168333.201,62035520.86,10959563.96,137966659,635138977,20235437.17,15601143.96,,3691562.072,,49350771.18,5379005.902,82595949.52,2228487.741,,1034174.907,,17437895.67,97066898.28,,892355.0219,8461500.35,128578418.5,127944.2549,1730380.947,9206248.554,66491991.25,25905684.23,16989620.42,19468567.63,2722174.693,13936758.32,671454.1443,,13661913.5,3169917.364,2599097.069,891362.1749,23171471.39,809294.6021,,17594071.59,36046005.48,35516978.9,56898.05045,4019799.257,1572064.172,61956241.82,25699667.46,17020133.09,19885160.15,45520.62204,,3870106.507,1439490.133,113162777.3,3938571.574,52293403.84,6672485.984,17630441.52,26864054.4,127266143.3,391337321.3,,,,15143618.93,16226108.01,3449182.508,,39545479.42,5794330.036,5622283.995,9289956.887,5104100.386,27825183.74,51934.74275,7833040.592,179988.0814,1681372.298,2356143.862,39840602.72,,687901.0079,1699087.488,829723.2384,,93570816.43,11890.12174,4176508.061,22651226.7,16437130.74,41734992.06,68211671.61,19241165.57,6667045.981,,12483171.28,65722.92062,20587287.64,563261451.1,1486919.72,3251261.57,53928240.24,3893662.355,,4710699.837,15039969.48,5707527.73,2858726.829,244221568.3,,,17277786.75,23888852.02,18109947.19,7609912456
Joint United Nations Programme on HIV/AIDS (UNAIDS),,3760971.363,74295.31635,148479.3879,,689051.6143,,,,516426.0506,312536.1261,,127797.9492,,,411754.3512,441307.9383,172449.1372,9073.835577,469316.4801,,171267774.3,89360.72248,116747.8582,646688.3259,623451.0293,,598030.0448,633604.8216,656619.8266,539119.0101,,411510.0682,,624624.0038,348288.4192,1336437.425,169115.0606,,,1706126.857,,61463.8218,714458.037,74285.01407,99060.42181,291308.7655,,371969.6055,136835.6278,448568.4729,196253.0594,,343811.7797,1584560.601,2737193.394,3914239.728,570244.6862,480103.8629,204445.0591,85593.35558,789690.663,,,,627162.4271,550618.7363,,640892.895,947759.3969,656067.0695,1092696.483,962987.1631,148972.9069,,,422234.8447,,59436.25308,500862.6677,814987.2276,,,74295.31635,,,324679.3488,,,718003.5085,328227.1979,,,551948.8206,861479.1563,55097.40661,,595537.6846,,133149.5895,,,50494.16787,,2577797.647,187641.0435,,34671.14763,,364503.9168,845040.4756,634703.1045,1893951.955,548306.0717,,567133.4955,96324.96732,448046.1273,1810210.93,,,,,715553.8434,,,416739.9631,664383.8853,63398.66996,543513.3304,317261.9026,,,,808224.6698,,,,214574.6806,34671.14763,,689418.7323,,85290.82505,,1473010.641,2309316.861,,4484650.34,301051.5561,,,,,,920181.1736,,668668.3476,,159978.916,712181.5294,702990.6044,,424865.6914,,,141658.8797,1092.834573,123825.5273,,,1012696.971,706529.7361,,113919.4851,377011.0875,,324311.2403,697812.2209,,,247419.4512,940216.9364,893647.6415,243421033.7
Korea,66248432.5,264549.0743,8713.846457,1675091.106,57263.04726,211721.1604,,6660.169655,,148873.5534,759184.6455,4963669.166,1150369.214,,,15847078.85,,78835.00196,63995.27575,128562.6284,309050.6776,56823709.82,1461532.445,33133.00391,6724.319593,329213.9699,,249622.3502,32388.68887,14541018.61,1785525.665,1263.665914,236728.2125,535432.2959,32890.46442,2131406.316,5028173.247,2325993.291,,3260493.568,237880.2751,,168122.0501,481772.1904,12612.93245,19411.06841,235015.497,14446.03892,2200329.713,3132323.748,3140909.295,2301081.146,13365.15639,,8026923.641,13843.20525,54908.83239,488276.8184,216888.3062,96544.77885,48279.41956,4240491.969,,,,2995491.05,139095.521,109248.2242,,4866926.664,633106.2894,940989.9654,11271387.63,305823.8478,1341989.474,,97138.82486,,6407751.949,2837100.458,2035200.741,182255.2482,,,,1606828.541,8433876.792,,1599046.187,127381.5665,37945.12808,156109.315,,451183.2149,344305.9021,1519147.878,106241.9648,389422.6418,4852.547412,67846.90837,22778.50081,,486557.9516,16050.66615,618352.6823,50146.79791,17244675.77,,,2643914.236,837233.1516,3721016.311,,72270.61783,6609.20121,4921139.514,137056.7832,143439.2628,2214162.373,,,2279148.019,11397.59868,4724658.797,34350.09521,713520.4344,585050.9553,347436.0676,2902634.453,3987670.03,11963402.9,,,,4062295.742,27050.18371,,,2728009.533,56474.79391,12830.86649,83026.71713,5872.795066,4829.699488,173307.6499,248208.4152,,42319.62663,9065903.956,7171660.842,,,69616.74366,17498.87298,,806559.8145,9551.310724,156722.6939,145813.6892,198435.093,7372129.4,2191013.033,1603163.207,90005.00018,,33600.50758,2980.77523,2064257.148,326458.1589,885025.7347,114292.3427,1517001.052,989829.159,,21135.20786,4346428.123,1474.569822,135700.8469,21126970.3,,,391341.8673,540753.2257,567492.3262,384980134.6
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49640160.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49640160.85
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,3308491.506,12353207.33,94061.86434,2016.267694,44839.26976,,,,,160353.3857,109238.0644,588140.1429,83500.73645,,,901785.7802,,,,2024598.734,,82325823.31,1236245.678,46014.53437,,2162221.952,,18541498.58,1185890.147,452970.942,252581.1734,17468801.77,421996.3793,,1645932.812,542305.6187,931833.6553,1891028.996,,3388985.374,75438.5872,,117675.5686,527266.904,,334872.3275,,,,319351.9492,93052.78408,7325878.388,,,762789.2643,2258787.267,28275.34261,,,122525.9817,23375.81513,232425.6288,,,,522590.9373,364860.3592,52121.2057,30821.83384,3958838.483,105148.5386,3834020.661,504540.1704,,367854.6813,,,,,58979.25909,227460.3433,,,9486179.459,,137161.0676,12786547.17,,190909.4486,,419834.0172,,,291082.1205,325817.5299,,75589.46438,14742471.55,,,378989.938,,,,87783.08329,289488.4049,2121925.841,7028054.828,,61.11897174,109728.8541,236088.4877,1926272.409,12903167.78,,805550.1187,9781158.938,9113823.262,,,1689942.312,,,3870873.089,,9789947.341,,,121057.261,1545872.935,280304.3055,,,,5396013.333,,,,19505590.76,698831.2916,,108281.9832,,883534.6326,,369288.0968,,164096.5249,865023.6788,742294.0404,,,27432.21353,,6031.356195,2733395.768,,685805.3382,,328476.699,30330.87952,411794.6683,10389.41348,879520.2046,,,,,,41148.32029,,281105.5593,28414.36907,,119091.3863,360169.8759,,60.58404358,12568956.33,,,548177.9229,,,322742253.6
Netherlands,104028234.1,16318287.68,1665030.76,164437.5055,610831.1317,692506.598,,,,536425.1559,633182.1715,4450663.545,,,,68785480.01,,,,7704911.227,,1455975223,45439617.52,8206143.738,,280310.3049,,42475656.64,16658384.92,1303722.075,,3899526.987,2055470.783,761642.4011,5070156.432,282719.2487,2042405.362,24162833.62,,433231900.6,,,3562816.191,5645693.348,151020.2145,101927.2928,,,248821.6013,506083.4461,6126163.641,125083.6252,,2858921.477,42494955.54,14336342.24,,,,,3168181.87,12394789.47,,,,19061308.55,,,,19789468.08,298371.6459,763284.9828,49848826.1,2695850.146,4201880.818,,,,983788.7209,266257.2561,20418684.49,,137013.3176,1992014.165,,511679.6028,68515.69643,,614904.2677,,41398553.83,61600.37926,921721.4181,,22996.60864,195728.5834,,52313464.62,,,,,135749.6679,,114786.8121,3824953.133,4823155.033,54812.55632,,1046645.127,34109895.14,731887.6228,326058.5651,,,,24866544.71,2870804.922,950097.3443,,,,370512.1793,49660364.18,,30955780.33,,17006.96647,,1013265.855,240241.8881,,,,8991723.823,,,,20901246.12,704300.9727,,,,8971116.028,,33797079.72,971552.5693,,41069498.28,4566609.397,,,,,,70050242.37,33510957.74,,91098.35957,284463.0834,7852320.65,246440.6948,,18225175.13,,,,102759.5115,488553.5,,,28050558.45,132349.8649,,68515.69643,,,136955.9011,6452758.589,,,26014492.31,22283282.53,12232483.24,3058031513
New Zealand,733783.521,,,,65288.7517,,,,,99930.40327,,16174.00697,,,,94653.39634,5000.723149,,15844.57627,,31312.3613,30888500.1,11798.6756,,,166937.6872,,,,1525287.688,,,,,,590738.6481,1077472.928,,,,,7264635.919,,,,,,17404.4391,,51998.25177,,26124.7235,,,,,3711553.078,777291.2512,,31540.45536,,137099.579,,,,224973.3944,,,40968.05346,1216348.291,100848.1608,304354.9756,3978078.833,,303661.9461,,81910.66004,,,,345102.7344,1423508.651,,,,60286.00616,780916.5543,,531408.4057,,,,,,85263.32478,,504991.0493,,74961.09525,,32951.06227,,27766.63579,53747.8608,169736.9099,,163416.727,,,,,323318.324,86655.8881,,195746.175,391259.417,21703.91572,,,9623104.313,,19428546.78,,2429295.569,8538.020427,,,14289983.54,,204779.2373,1431833.695,,,,,5861872.778,,,,,50512.67679,18442.46495,8325876.765,32795.49018,,846211.9522,408250.5662,190825.5458,1401517.508,162012.8857,,,84245.08554,52232.53911,,,,,,,791143.9784,2856.244265,4665350.454,,9961579.831,6063539.104,34414.8161,,,,278646.7062,,,,43234.70769,,3512769.401,,4345010.006,,,303661.9461,724306.1442,2582116.14,157023763.1
Nigerian Trust Fund (NTF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordic Development Fund (NDF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North American Development Bank (NADB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202953755.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14859063.27,,,,,,,,,,,217812819.2
