1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
Belgium,12442973.55,6282229.89,54859.5547,9316980.363,496730.1248,842301.0796,,,,59514.9684,160889.2705,276720.2762,90091.05671,,,1502603.237,,120037.0346,,19923945.73,,602427041.1,19812527.35,246128.8438,291316.2159,4105902.696,,12715902.65,34933613.68,14254721.5,4583412.896,404063.3851,2679428.309,95493.06151,7610568.351,1080505.007,3097861.658,5812840.319,548.9842278,613055715.1,62771199.82,,999521.859,10308559.2,65645.47527,4175912.856,,686.2302848,766327.7836,10513785.41,183955.5153,1035558.392,,1960.655996,3524109.002,409655.462,11133.26289,,191100.0922,427623.3726,194628.6334,27195809.47,,,,3885018.219,1084564.841,760263.1137,86974.73402,26092102.01,3963565.99,12992055.95,7801425.737,91661.75548,446100.9191,,,,61251.8996,,5241372.442,,388513.3657,,,979693.9212,1177676.972,,2892262.563,,131021.9483,,49548.55776,2210451.19,9717936.964,,,14234706.15,,560807.7561,,,1135951.22,,2744.921139,214213.6457,11626.15466,,,14088157.76,18531563.3,141697.9348,1079695.955,588709.6187,,1225005.547,16792846.42,14187006.4,3363177.487,,1140332.196,,,15245518.94,,15175856.51,30921.53663,,21477.11392,26355835.74,5665821.067,,,,40411508.32,,,,13464976.29,376837.8711,1056794.639,110719.4822,,5897379.348,,15420122.17,1144850.625,124049.5741,12276429.56,228081.6598,,,,,66495.7146,12302160.7,2325352.395,1795.178425,179792.3346,41064.02024,11898970.97,176593.0879,,5215459.426,,,,1758881.317,130909.4065,14283.19715,,18981397.58,942579.8287,,1372.46057,19001.71659,,185329.568,16578394.13,,234597.9516,356839.7481,3549969.974,1739119.175,1898613886
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,77274148.46,91682911.38,,161807.2179,60269293.54,193523.9229,,,,523048.4626,,150587947.4,,,,28010071.99,332662.9499,,338845.9591,3484146.988,71620.56691,460687728.9,2697702.335,187042.4236,442464.6645,929515.2213,,16799781.73,3241082.237,1097641.901,397051.5282,61250.16808,1194420.919,13019498.45,7179027.985,2217841.125,2701582.706,12552787.86,213207.2128,14259443.37,19217807.37,,430004.835,5774529.735,,1426961.762,92531.93034,48611.24451,684216.0589,454259.2875,795842.8272,602890.2997,15419.14563,,59018946.07,20402326.94,25941692.53,,15982.01267,92804.83557,,19407681.18,,,49029.13065,3645607.105,272129.1581,391934.5551,650461.093,318583564.3,5773898.642,1164247.834,2446151.937,83253.15244,4236256.752,,1036621.997,,1440777.589,47280.8315,15454734.17,,,,,1736393.654,121656.0356,,545648.4272,44116.83646,803714.4375,,,795766.0726,3694198.734,42266.19786,4323.842275,9082277.604,,330070.3502,26736.18448,,493020.3588,,9062068.766,143275.247,6288145.911,,,530280.4513,10305438.85,531917.8827,7174490.936,354137.1804,,6877851.476,1207776.219,41730826.02,612399.3413,,1939631.297,525385.2137,,64615115.18,,53971838.61,243960.2211,,138669.9712,9228452.469,6800491.371,,,,48941604.82,,204.6789242,,11436434.89,525018.4973,,28242732.23,,2751908.136,822365.8045,881859.1451,23839315.05,8618679.84,96026746.21,7878765.529,,,119762.7555,119762.7555,,64197425.19,112138.4656,379884.0834,122986.4486,487391.6884,29126399.37,251337.1907,471554.6566,18895489.23,,,84941.75356,71415.88798,,,,2270324.213,2884412.155,,149023.3134,,,330164.1614,2175779.606,,13400747.06,2001921.917,989912.5605,2248048.323,2073366355
Caribbean Development Bank (CDB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo Basin Forest Fund (CBFF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,102586.7689,,14875.27282,,,,,,,,,,,,,,,,,,,,,,,,28307.43235,,,,,,11801.82417,,,116.1596867,,,,,254933.6145,,,,,,,,,40450.90266,40397.60586,12608.10905,,,,,,,24105.18486,,,,109448.39,12359.39066,,,,,,11901.58484,15706.15622,,,,,12069.67474,,,274307.6837,655273.1916,,,,,,,,737955.6566,,,,,,,,25940.50791,,,,,,,,,,819950.7296,,,,,,,,41143.76103,,491970.4377,,,,,,,,,,,,,,41004.3694,,,,,,,,,,,,,,,,38387.35999,,,,,,,,,,,,,,,,,,,,29771.04441,,,,,,,,,3847372.813
Denmark,62623348.32,5763915.676,32892.14375,,1437668.076,1096527.401,,,,,533314.0905,2810162.479,21720.45105,,,56229733.39,,2152466.296,,4019638.043,1732881.455,241628999.4,8966377.514,27850.2218,,,,196022.5092,122952.6315,13335689.98,61764.01492,,,,,,7909160.155,3579.637145,,5097137.164,,,,5467.039996,,17524.02249,5974.098535,,75265.65717,914348.8186,14413333.27,,,744806.3069,5548752.8,174273.0074,,,,252050.9621,2449258.67,10751773.89,,,,2632569.356,7168.917879,12988.96813,,25540536.15,2718025.193,8664204.512,2027020.78,20658.70159,28736961.89,,,,3684203.727,667839.2119,18825576.71,,,2914245.746,,1158315.735,1050497.043,,1433131.13,50933.11751,2385130.166,,26527.4917,43531.40053,3200450.973,,11654796,2688539.431,,,,,,,4364378.263,2352522.829,149489.6249,,,1157232.732,15930753.03,6813151.837,6016493.454,,,10309986.31,5533612.255,6400325.803,18802058.99,,,,,29697897.02,,8330086.528,,2198.920038,50261.77608,933829.0693,1470148.63,,,,1145994.627,,,,81404.66052,369245.471,,4332365.152,,12950490.57,750156.3272,4286519.57,92772.83293,512463.4501,6645903.17,10113991.1,,,,,,20076338.88,,71172.80581,272777.3488,320286.4214,36423629.97,460795.0976,,945282.3137,,,,,48190.66496,,,40252103.98,2140244.23,,,,,,13142647.77,,,2695519.291,7899972.245,21900767.73,877545944.7
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
